Timestamp,How long have you been into craft beer?,What is your favorite MN centered craft beer facebook group?,How many beers are in your main food fridge right now?,What is your favorite MN beer?,What is your favorite MN brewery?,What is your gender?,Share your favorite memory from Darkness day
10/17/2016 14:56:53,More than 4 years,MNBT (No Rules),10-20,Dangerious man chocolate milk stout,Dangerious man,Male,Backfat
10/17/2016 14:57:00,3-4 Years,MNBT (No Rules),6,Surly Abrasive,Fair State,Male,Kissing Ryan Ungs on the mouth
10/17/2016 14:57:02,More than 4 years,MNBT (No Rules),15,Darkness,Dangerous Man,Male,Standing in line in 2010.
10/17/2016 14:59:44,3-4 Years,MNBT (No Rules),4,Disgruntled,Disgruntled,Male,I didn't go...it was awesome
10/17/2016 14:59:44,More than 4 years,MNBT (No Rules),27,DSDB,Dangerous Man,Male,
10/17/2016 14:59:51,1-2 Years,MNBT (No Rules),15,Barrel Aged Silhouette,Surly,Male,Meeting some crazy awesome people at the No Rule tent amongst others
10/17/2016 15:01:16,More than 4 years,MNBT (No Rules),5,Stupid Good IPA- Disgruntled Brewing,Surly,Male,Meeting and hanging out with new people.
10/17/2016 15:01:35,More than 4 years,MNBT (No Rules),20?,Furious,Fair State,Male,None. 
10/17/2016 15:02:11,More than 4 years,Beer People,15,Todd,Modist,Male,Waking up three deep in a single person tent.
10/17/2016 15:03:58,More than 4 years,MNBT (No Rules),"About 10, thanks to a dedicated beer fridge.",Surly Abrasive,Steel Toe,Male,Not going and getting much needed sleep.
10/17/2016 15:05:17,More than 4 years,MNBT (No Rules),4,Lift Bridge BA Silhouette ,Surly,Male,Jack in the kangaroo suit
10/17/2016 15:06:44,More than 4 years,MNBT (No Rules),Around 10,Surly Darkness,Surly,Male,Everything I actually remember
10/17/2016 15:06:45,More than 4 years,MNBT (No Rules),0,Indeed Rum King or BA Darkness,Surly,Male,Reading through all the shenanigans that everyone in attendance posted on Facebook...
10/17/2016 15:07:33,More than 4 years,MNBT (No Rules),18,THB- 3 hour tour,Fairstate ,Male,Walking the line and running in to friends.
10/17/2016 15:07:41,More than 4 years,MNBT (No Rules),17,Surly Todd the axe man,Indeed/fair state,Male,Meeting a lot of the no rules bastards
10/17/2016 15:07:43,More than 4 years,MNBT (No Rules),6,Before the Dawn,Surly,Male,Darkness Day Eve
10/17/2016 15:07:59,More than 4 years,MNBT (No Rules),3,Liftbridge Commander,Surly,Male,Actually making it to my tent to sleep.
10/17/2016 15:08:29,More than 4 years,MNBT (No Rules),80,Starkeller Peach,Surly,Male,The generosity from so many strangers during the share the night before. 
10/17/2016 15:08:36,1-2 Years,MNBT (No Rules),7,Surly Todd The Axe Man,Dangerous Man,Female,Seeing all the No Rules Tshirts 
10/17/2016 15:08:57,More than 4 years,MNBT (No Rules),50-60,Lift bridge double shot double black,Sisyphus ,Male,Haven't had the chance to make it to one yet 
10/17/2016 15:09:59,More than 4 years,MNBT (No Rules),16,Ba darkness,Surly,Male,Never been there.
10/17/2016 15:09:59,More than 4 years,MNBT (No Rules),43,Todd the Axeman,Fair State,Male,Ticking walez with the awesome folks from No Rules
10/17/2016 15:10:20,More than 4 years,MNBT (No Rules),30,Fair State Roselle,Bad Weather,Male,
10/17/2016 15:10:37,More than 4 years,facebook is the worst.,a lot,townhall raspberry czar jack,townhall,Other,"I woke up there, how did I get there?"
10/17/2016 15:11:34,3-4 Years,MNBT (No Rules),32,Surly Abrasive,Surly,Male,Meeting so many new friends and sharing great beer with great people.
10/17/2016 15:11:54,More than 4 years,MNBT (No Rules),17,BA Darkness,Surly,Male,I woke up and was still alive the next morning
10/17/2016 15:12:52,More than 4 years,MNBT (No Rules),5,BA silhouette ,Junkyard ,Male,
10/17/2016 15:14:07,More than 4 years,MNBT (No Rules),20,Snownami,Disgruntled ,Male,The nap I took after 
10/17/2016 15:15:06,More than 4 years,MNBT (No Rules),10,Stupid good,Disgruntled Brewing ,Male,None
10/17/2016 15:15:40,1-2 Years,MNBT (No Rules),2,Badger Hill Traitor IPA,Surly,Male,Enjoying the photos posted on MNBT since I wasn't there
10/17/2016 15:16:18,More than 4 years,MNBT (No Rules),4,Ba darkness,Surly,Male,
10/17/2016 15:17:02,More than 4 years,MNBT (No Rules),25,LTD Night Falls ER10 Barrel Aged,Forager,Male,I never remember anything from that day.
10/17/2016 15:17:29,More than 4 years,MNBT (No Rules),0 (I have a beer fridge for that),Peachy Keen,Junkyard,Male,Stand 'n poo in the Biffy since it's overflowing!
10/17/2016 15:18:04,3-4 Years,MNBT (No Rules),4,BA lift bridge,Surly,Male,The first time I went (2015) I became friends with a couple dudes my dad's age that I've enjoyed numerous beers with at tastings
10/17/2016 15:19:53,More than 4 years,MNBT (No Rules),4,Todd the Axe Man,Junkyard,Male,Your mom
10/17/2016 15:20:13,More than 4 years,MNBT (No Rules),15 or so,Stupid Good,Dangerous Man,Female,Darkness 2007
10/17/2016 15:25:22,3-4 Years,MNBT (No Rules),11,BA Silhouette,Forager,Male,Anything Nick Owen did. 
10/17/2016 15:25:42,More than 4 years,MNBT (No Rules),16,BA Silhouette ,Surly,Male,Blackout drunk 
10/17/2016 15:26:01,More than 4 years,MNBT (No Rules),30,Stupid Good,Dangerous Man,Male,Couldn't attend this year unfortunately. Next year #NoRulez
10/17/2016 15:26:49,3-4 Years,MNBT (No Rules),40,Rum King,Dangerous Man,Male,I could not go
10/17/2016 15:27:22,More than 4 years,MNBT (No Rules),75,Todd the Axeman right now,Dangerous Man,Male,Darkness Day Eve shareing beer 
10/17/2016 15:27:28,More than 4 years,Crack Smoke in a Bottle,,612 IPA,612,Female,Cashing out my 401k to impress neck beards with rare bottles of beer.
10/17/2016 15:27:59,More than 4 years,MNBT (No Rules),7,Thats an impossible question.,Indeed,Male,"If you can remember it, you weren't there."
10/17/2016 15:29:20,More than 4 years,MNBT (No Rules),3,Steele Toe Long time Gone,Schells,Male,wasn't there :/
10/17/2016 15:31:31,More than 4 years,MNBT (No Rules),0,Abrasive ,Surly ,Male,Ryan Ungs pooping himself 
10/17/2016 15:31:36,3-4 Years,MNBT (No Rules),6,stupid good,disgruntled ,Male,Unable to attend due to stupid friends and their stupid wedding
10/17/2016 15:32:45,More than 4 years,MNBT (No Rules),Too many,Liftbridge BA Silhouette ,Surly,Male,"Seeing all the pics on social media, as I wasn't able to attend"
10/17/2016 15:33:46,More than 4 years,MNBT (No Rules),23,BA Darkness ,Disgruntled ,Male,Missed it..... Stupid work 
10/17/2016 15:34:59,More than 4 years,Beer People,4,Surly Abrasive,Dangerous Man,Female,Talking to Todd Haug
10/17/2016 15:35:52,1-2 Years,MNBT (No Rules),15,BA Silhouette,Surly,Male,The line share Darkness Eve
10/17/2016 15:36:19,More than 4 years,MNBT (No Rules),15,Darkness,Forager,Male,Meeting all of the #norulez gang
10/17/2016 15:36:26,Less than a year,MNBT (No Rules),,The Brewery ,black Tuesday ,Other,Ryan Ungs pooping himself 
10/17/2016 15:37:28,1-2 Years,MBT,13,Apricot Vista ,Disgruntled ,Other,"Ryan ungs shitting his tights 
"
10/17/2016 15:37:39,More than 4 years,MNBT (No Rules),22,Easily accessible: Todd the Axeman. Limited: Darkness or DBDS,Surly,Male,Ryan Ungs pooping himself. 
10/17/2016 15:38:05,More than 4 years,Beer People,0,Steel Toe Size 11,Bent Paddle ,Male,NA
